Dia;Sessao;Turno;Horario_Inicio;Bloco;Sala;Ordem;Evento;Código do Resumo;Título;Submissor;Área;Modalidade
Segunda-feira;Sessão 3;Tarde;15:00;Ciências Exatas;PA-04;4;2ª - EPEx-PG;202624584;Atuação Extensionista de Agentes Regionais de Inovação da Ufpr nos Ecossistemas de Curitiba, Região Metropolitana e Litoral;AMELIA GONCALVES RIBEIRO;Tecnologia e Produção;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:40;Ciências Exatas;PA-07;3;2ª - EPEx-PG;202624580;Pontes do Diálogo: a Comunicação dos Projetos de Extensão Ligados Ao Coletivo Plantear;GAB DA SILVEIRA MULLER;Comunicação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências da Terra;CT03;1;2ª - EPEx-PG;202624578;Atuação Extensionista de Agentes Regionais de Inovação da Ufpr nos Ecossistemas de Curitiba, Região Metropolitana e Litoral;LAISLA DANTAS CHAGAS;Tecnologia e Produção;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências da Terra;CT05;1;2ª - EPEx-PG;202624571;Percurso do Ekoa Rumo À Cop30 de Belém do Pará;GABRIEL VICENTE ANDRADE;Direitos Humanos e Justiça;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:50;Ciências da Terra;CT01;3;2ª - EPEx-PG;202624552;Amamentar com Suporte: Estratégias Baseadas em Evidências para o Enfrentamento da Hipogalactia;VALERIA MORO MAIESKI CHIKUDE;Saúde;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências da Terra;CT06;1;2ª - EPEx-PG;202624491;Práticas Corporais Integrativas e Direito Ao Lazer: a Experiência do Yoga, da Meditação e da Massoterapia na Extensão Universitária;MARCO AURELIO RODRIGUES JUNIOR;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências da Terra;CT06;2;2ª - EPEx-PG;202624481;"Tecendo Redes de Afeto na Pós-graduação: a Experiência do Coletivo ""balbinas"" À Luz da Pedagogia Engajada";CLAYTON CHAVES;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:50;Ciências da Terra;CT06;3;2ª - EPEx-PG;202624400;Formação de Professores em Controvérsias Sociocientíficas: Integração Universidade-escola para Uma Educação Cidadã;ELAINE DE OLIVEIRA;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;17:10;Ciências da Terra;CT06;4;2ª - EPEx-PG;202624323;Fortalecimento do Programa de Pós-graduação Prática do Cuidado em Saúde (ppgpcs): Análise da Produção de Conhecimento, Infraestrutura e Identidade Visual.;FERNANDO CHIQUITO COSTA;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:10;Ciências Exatas;PA-03;1;2ª - EPEx-PG;202624314;Fortalecimento da Pós-graduação: Estratégias de Eventos, Marketing e Divulgação no Programa de Pós-graduação Prática do Cuidado em Saúde da Universidade Federal do Paraná (ppgpcs/ufpr);JULIA PASQUALI;Educação;Comunicação Oral
Segunda-feira;Sessão 4;Tarde;16:30;Ciências Exatas;PA-03;2;2ª - EPEx-PG;202624239;Da Extensão Universitária À Divulgação Científica: a Exposição “mata Atlântica” no Museu da História da Medicina do Paraná;PAMELLA MEDICE DE ARAUJO;Educação;Comunicação Oral
